Parameter,Equipment,USEPA Approved Procedure,Units,CMC Code,Tier,Tier Justification,Analytical Method,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,NonfatalLowerRange,NonfatalUpperRange,CBP Method,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,,Holding Time,Sample Preservation
Nitrite,Field Colorimeter (ex. Hanna HI 707 Digital Checker),See CMC Methods Manual,ppb,NO2NO3.4,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,600,999,1 ppb,Â±20 ppb Â±5% of reading,0 to 600 ppb NOâ‚‚-N,,0 to 50Â°C (32 to 122Â°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,,,
Nitrite,Field Colorimeter (ex. Hanna HI 707 Digital Checker),See CMC Methods Manual,ppb,NO2NO3.3,p1,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,600,999,1 ppb,Â±20 ppb Â±5% of reading,0 to 600 ppb NOâ‚‚-N,,0 to 50Â°C (32 to 122Â°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,,,
Nitrite-nitrate,Specific to individual lab,USEPA Method 353.3 (non-tidal) / 353.4 (tidal),mg/L,NO2NO3.1,2,Certified Lab and >10% Blank/Dup,Lab,Water,TRUE,TRUE,TRUE,TRUE,0,5,144,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Nitrite-nitrate,Specific to individual lab,USEPA Method 353.3 (non-tidal) / 353.4 (tidal),mg/L,NO2NO3.2,p2,Historical data/not trained using CMC methods,Lab,Water,TRUE,TRUE,TRUE,TRUE,0,5,144,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,N/A,,N/A,,N/A,,Dependendent on preservation method - 28 days maximum,Cool; <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Nitrate-nitrogen,Colorimetric kit (ex. Hach NI-14 1416100; LaMotte 3110; LaMotte 3354),See CMC Methods Manual,mg/L,NO3N.1,1,N/A,Kit,Water,TRUE,TRUE,TRUE,TRUE,0,15,999,0.01 mg/L (0 - 1 mg/L); 0.1 mg/L (1 - 10 mg/L),Unknown - testing needed,0 - 1 mg/L; 1 - 10 mg/L,,<0 mg/L; >10 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Nitrate-nitrogen,Colorimetric kit (ex. Hach NI-14 1416100; LaMotte 3110; LaMotte 3354),See CMC Methods Manual,mg/L,NO3N.5,p1,Historic dataset/not trained using CMC methods,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,44,999,0.01 mg/L (0 - 1 mg/L); 0.1 mg/L (1 - 10 mg/L),Unknown - testing needed,0 - 1 mg/L; 1 - 10 mg/L,,<0 mg/L; >10 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Nitrate-nitrogen,Field Colorimeter or Spectrophotometer (ex. Hach),See CMC Methods Manual,mg/L,NO3N.3,2,"Acid-wash glassware, standardized, >10% dups",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,15,999,0; 1; 2; 4; 6; 8; 10; 15 mg/L,Unknown - testing needed,0 - 15 mg/L,,<0 mg/L; > 15 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Nitrate-nitrogen,Field Colorimeter or Spectrophotometer (ex. Hach),USEPA Method 353.3,mg/L,NO3N.6,p2,Historic dataset/not trained using CMC methods,Probe,Water,FALSE,TRUE,FALSE,FALSE,0,20,144,,,,,Unknown,,N/A,N/A,N/A,,N/A,N/A
Nitrate-nitrogen,Field Colorimeter or Spectrophotometer (ex. Hach),USEPA Method 353.3,mg/L,NO3N.7,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,FALSE,TRUE,FALSE,TRUE,0,15,144,,,,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependent on preservation method - 28 days maximum,
Nitrate-nitrogen,Specific to individual lab,USEPA Method 353.3,mg/L,NO3N.4,2,Certified Lab/>10% Blank/Dup,Lab,Water,FALSE,TRUE,FALSE,TRUE,0,15,144,,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,
Nitrate-nitrogen,Specific to individual lab,USEPA Method 353.3,mg/L,NO3N.2,p2,QA measures not fulfilled: Not approved lab or <10% blank/dup,Lab,Water,TRUE,TRUE,TRUE,TRUE,0,15,144,,Varies depending on lab equipment,Varies depending on lab equipment,,N/A,,N/A,,N/A,,N/A,N/A
Nitrate-nitrogen,Thermo Scientific Dionex Aquion Ion Chromatography System,USEPA Method 300.1 (Drinking Water),mg/L,NO3N.8,p,Drinking Water method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,48 hrs,Cool to 4 deg C
Orthophosphate,Colorimetric Kit (ex. Hach PO-19 224800; Hanna HI 38061),See CMC Methods Manual,mg/L,OP.1,1,,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,5,999,0.02 mg/L (0 - 1 mg/L),Unknown - testing needed,0 - 1 mg/L; 0 - 5 mg/L,,<0 mg/L; > 5 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Orthophosphate,Colorimetric Kit (ex. Hach PO-19 224800; Hanna HI 38061),See CMC Methods Manual,mg/L,OP.7,p1,Historic dataset/not trained using CMC methods,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,5,999,0.02 mg/L (0 - 1 mg/L),Unknown - testing needed,0 - 1 mg/L; 0 - 5 mg/L,,<0 mg/L; > 5 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Orthophosphate,"Field colorimeter or spectrophotometer (ex. Hach, Hanna Digital Checker)",USEPA Method 365.2,mg/L,OP.3,2,"Acid-wash glassware, standardized, >10% dups",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,188,0.01 mg/L,+- 4%; 0.04 mg/L,1 - 2.5 mg/L,,>TDP,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,48 hours,Cool; <= deg C
Orthophosphate,"Field Colorimeter or spectrophotometer (ex. Hach, Hanna Digital Checker)",See CMC Methods Manual,mg/L,OP.2,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,188,0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,Unknown,Before each use,N/A,N/A,N/A,,N/A,N/A
Orthophosphate,"Field colorimeter or spectrophotometer (ex. Hach, Hanna Digital Checker)",USEPA Method 365.2,mg/L,OP.9,1,"Acid-wash glassware, standardized, >10% dups",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,189,0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,<0 mg/L; > 2.5Ã‚Â mg/L,Before each use,Glassware is clean and intact; reagents have not expired,Before Each Use,,,48 hours,cool
Orthophosphate,"Field colorimeter or spectrophotometer (ex. Hach, Hanna Digital Checker)",USEPA Method 365.2,ppm,OP.6,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,,999,0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,N/A,Before each use,N/A,Before Each Use,N/A,,N/A,N/A
Orthophosphate,Specific to individual lab,USEPA Method 365.5 (tidal),ug/L,OP.4,2,Certified lab and >10% Blanks/dups,Lab,Water,TRUE,TRUE,TRUE,TRUE,0,5000,188,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TDP,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Orthophosphate,Specific to individual lab,USEPA Method 365.2,mg/L,OP.5,2,Certified Lab and >10% Blank/Dup,Lab,Water,TRUE,TRUE,FALSE,TRUE,0,5,189,,Varies depending on lab equipment,Varies depending on lab equipment,,,,,,,,Dependendent on preservation method - 28 days maximum,Cool;Ã‚Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Orthophosphate,Specific to individual lab,USEPA Method 365.2,mg/L,OP.8,p2,QA measures not fulfilled: Not approved lab or <10% blank/dup,Lab,Water,TRUE,TRUE,TRUE,TRUE,0,5,189,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,no known,,,,,,,
Orthophosphate (Drinking Water),Thermo Scientific Dionex Aquion Ion Chromatography System,USEPA 300.1,mg/L,OP.10,p,,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,48 hrs,Cool to 4 deg C
pH,ColorpHast pH Strips (2 - 9),See CMC Methods Manual,SU,PH.3,1,N/A,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,14,999,0.5 pH units,Unknown - testing needed,2 - 9 pH units,,< 4.0 pH units; > 9.5 pH units,Before each use,Strips are not discolored or wet,N/A,N/A,,24 hours,Cool; <= deg C
pH,Wide Range Colorimetric Kit (ex. LaMotte; Hach),See CMC Methods Manual,SU,PH.7,1,,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,14,173,0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,,,24 hours,Cool; <= deg C
pH,Wide Range Colorimetric Kit (LaMotte; Hach),See CMC Methods Manual,SU,PH.6,p1,Historic dataset/not trained using CMC methods,Kit,Water,TRUE,TRUE,TRUE,TRUE,0,14,173,0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,24 hours,Cool; <= deg C
pH,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),See CMC Methods Manual,SU,PH.2,2,>10% field dups,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,14,173,0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,24 hours,Cool; <= deg C
pH,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),See CMC Methods Manual,SU,PH.8,p2,Historic dataset/not trained using CMC methods,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,14,173,0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,Unknown,,N/A,,N/A,,N/A,N/A
pH,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),See CMC Methods Manual,SU,PH.13,1,<10% field dups,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,14,173,0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,,N/A,,N/A,,N/A,N/A
pH,pH individual probe (ex. Hanna; LaMotte; Oakton; Extech),USEPA Method 150.1,SU,PH.1,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH ,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,,24 hours,Cool; <= deg C
pH,Individual probe (ex. Hanna; LaMotte; Oakton; Extech),USEPA Method 150.1,SU,PH.9,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,Unknown,,N/A,,N/A,,N/A,N/A
pH,Individual probe (ex. Hanna; LaMotte; Oakton; Extech),USEPA Method 150.1,SU,PH.10,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,N/A,,N/A,,N/A,,N/A,N/A
pH,pH individual probe (ex. Hanna; LaMotte; Oakton; Extech),USEPA Method 150.1,SU,PH.14,p,missing QA procedures,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,14,999,,,,,N/A,,,,,,,
pH,"Multiprobe sonde (YSI, Hydrolab)",USEPA Method 150.1,SU,PH.5,3,Tier III,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,14,171,0.01 pH,+- .01 pH,- 1.00 - 15.00 pH,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,,24 hours,Cool; <= deg C
pH,"Multiprobe sonde (YSI, Hydrolab)",USEPA Method 150.1,SU,PH.4,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,,24 hours,Cool; <= deg C
pH,"Multiprobe sonde (YSI, Hydrolab)",USEPA Method 150.1,SU,PH.11,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,Unknown,,N/A,,N/A,,N/A,N/A
pH,"Multiprobe sonde (YSI, Hydrolab)",USEPA Method 150.1,SU,PH.12,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,14,171,0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,N/A,,N/A,,N/A,,N/A,N/A
Phaeophytin,Fluorometry,USEPA Method 445.0,mg/L,PHAE.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,,,178,<= 15% RPD,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Phaeophytin,Fluorometry,USEPA Method 445.0,ug/L,PHAE.2,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,,,178,<= 15% RPD,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Salinity,Hydrometer,N/A,ppt,SA.5,p,N/A,Kit,Water,TRUE,FALSE,FALSE,TRUE,,,999,,,,,,Before each use / Annual,,,,,,
Salinity,Refractometer (ex. Extech; General),See CMC Methods Manual,ppt,SA.1,1,N/A,Kit,Water,TRUE,FALSE,FALSE,TRUE,,,999,1 ppt,-0.001,0 to 100 ppt,,<0 mg/L; >100 ppt,Before each use,Prism plate is clean and instrument is intact,Before Each Use,2-3 drops of distilled water to zero instrument,,,
Salinity,Refractometer (ex. Extech; General),See CMC Methods Manual,ppt,SA.2,p1,Historical data/not trained using CMC methods,Kit,Water,TRUE,FALSE,FALSE,TRUE,,,999,1 ppt,-0.001,0 to 100 ppt,,<0 mg/L; >100 ppt,Before each use,Prism plate is clean and instrument is intact,Before Each Use,2-3 drops of distilled water to zero instrument,,,
Salinity,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601; Oakton),USEPA Method 120.1,ppt,SA.11,1,"Calibration not completed, <10% field reps",Probe,Water,TRUE,FALSE,FALSE,TRUE,0,35,999,,,,,,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,ppt,SA.6,3,Tier III approved QAPP,Probe,Water,TRUE,FALSE,TRUE,TRUE,0,35,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,mg/L,SA.7,3,Tier III approved QAPP,Probe,Water,TRUE,FALSE,TRUE,TRUE,,,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,pss,SA.9,3,Tier III approved QAPP,Probe,Water,TRUE,FALSE,TRUE,TRUE,,,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,ppt,SA.3,2,"Calibration, >10% field reps",Probe,Water,TRUE,FALSE,TRUE,TRUE,0,35,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,mg/L,SA.10,p2,Historic dataset/not trained using CMC methods/not confident of QC practices,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,220,,,,,,,,,,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,ppt,SA.8,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,FALSE,TRUE,TRUE,0,35,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Salinity,"Multiprobe Sonde (ex. YSI, Hyrdolab)",USEPA Method 120.1,ppt,SA.4,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,FALSE,TRUE,TRUE,0,35,220,0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,Unknown,,N/A,N/A,N/A,,,
Silicate,Specific to individual lab,USEPA Method 366.0,mg/L,SIO3.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,,,227,<= 15% RPD,,,,,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,28 days,Chill on ice to <4C
Silicate,Specific to individual lab,USEPA Method 366.0,ug/L,SIO3.2,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,,,227,<= 15% RPD,,,,,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,28 days,Chill on ice to <4C
Sulfate,"Field Colorimeter or Spectrophotometer (ex. Hach, Hanna Digital Checker)",EPA-NERL: 375.4,mg/L,SO4.1,p,Historic dataset/not trained using CMC methods,Probe,Water,FALSE,TRUE,FALSE,TRUE,0,70,999,,,0-70 mg/L,,Unknown,Before each use,Visual - turn on to check batteries; clean sample cell,N/A,,,,
Sulfate,Specific to individual lab,N/A,mg/L,SO4.2,p2,QA measures not fulfilled: Not approved lab or <10% blank/dup,Lab,Water,,,TRUE,TRUE,0,,999,,,,,N/A,,N/A,Before Each Use,N/A,,N/A,N/A
Sulfate (Drinking Water),Thermo Scientific Dionex Aquion Ion Chromatography System,USEPA 300.1,mg/L,SO4.3,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,28 Days,Cool to 4 deg C
Total Depth,Various,N/A,M,TD.1,1,,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,381,,,,,,,,N/A,,,,
"Stream stage in feet to nearest tenth (ex - 0.1, 2.3, 3.5 etc)",Gage Stick,N/A,ft,ST.1,p,N/A,,,FALSE,TRUE,FALSE,TRUE,,,999,0.1 ft,,,,,,,N/A,,,,
Stream stage in feet measured from a bridge,Tape measure,N/A,ft,ST.2,p,N/A,,,FALSE,TRUE,FALSE,TRUE,,,999,0.01 ft,,,,,,,N/A,,,,
Total Dissolved Solids,Individual Probe (ex. LaMotte 1749; Extech),See CMC Methods Manual,mg/L,TDS.1,1,Calculated value,Probe,Water,TRUE,TRUE,TRUE,TRUE,,,999,10Â mg/L,+- 2% FS,0 - 9.99 g/L,,<0 g/L; >10 g/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,N/A,N/A
Total Dissolved Solids,"Multiparameter Probe (Hydrolab, YSI)",See CMC Methods Manual,mg/L,TDS.2,1,Calculated value,Probe,Water,TRUE,TRUE,TRUE,TRUE,,,999,10 mg/L,+- 2% FS,0 - 9.99 g/L,,<0 g/L; >10 g/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,N/A,N/A
Total Dissolved Solids,"Multiparameter Probe (Hydrolab, YSI)",See CMC Methods Manual,mg/L,TDS.3,p1,Historic Dataset,Probe,Water,TRUE,TRUE,TRUE,TRUE,,,999,10 mg/L,+- 2% FS,0 - 9.99 g/L,,<0 g/L; >10 g/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,N/A,N/A
Total Kjeldahl Nitrogen,Specific to individual lab,"USEPA Method 351.1, 351.2, 351.4; SM4500-Norg-C; SM4500-Norg-B",mg/L,TKN.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,TRUE,TRUE,TRUE,,,312,,,,,,,,,,,28 Days,Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Kjeldahl Nitrogen,Specific to individual lab,"USEPA Method 351.1, 351.2, 351.4; SM4500-Norg-C; SM4500-Norg-B",mg/L,TKN.2,p2,"QA measures not fulfilled: Not approved lab, <10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,312,Specific to individual lab,Specific to individual lab,Specific to individual lab,,N/A,,N/A,,N/A,,N/A,N/A
Total Nitrogen,Specific to individual lab,USEPA Method 351.2,mg/L,TN.2,3,"Tier III approved QAPP, CBP Approved Lab and >10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,999,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,28 days,Freeze to -20 C
Total Nitrogen,Specific to individual lab,USEPA Method 351.2,mg/L,TN.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,TRUE,TRUE,TRUE,,,999,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,28 days,Freeze to -20 C
Total Nitrogen,Specific to individual lab,USEPA Method 351.2,mg/L,TN.3,p2,"QA measures not fulfilled: Not approved lab, <10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,999,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,,,,28 days,Freeze to -20 C
Total Phosphorus,Specific to individual lab,USEPA Method 365.4,mg/L,TP.3,3,"Tier III approved QAPP, CBP Approved Lab and >10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,388,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Phosphorus,Specific to individual lab,USEPA Method 365.4,mg/L,TP.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,TRUE,TRUE,TRUE,TRUE,,,388,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Phosphorus,Specific to individual lab,USEPA Method 365.4,mg/L,TP.2,p2,"QA measures not fulfilled: Not approved lab, <10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,388,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Suspended Solids,Specific to individual lab,SM 2540 D-11,mg/L,TSS.1,2,Certified Lab and >10% Blank/Dups,Lab,Water,FALSE,TRUE,TRUE,TRUE,,,397,1.0 mg/L,,,,,,,N/A,,,,
Total Suspended Solids,Specific to individual lab,SM 2540 D-11,mg/L,TSS.3,p2,"QA measures not fulfilled: Not approved lab, <10% blank/dups",Lab,Water,TRUE,TRUE,TRUE,TRUE,,,397,1.0 mg/L,,,,,,,,,,,
Turbidity,Turbidity Test Kit (ex. LaMotte 7519),See CMC Methods Manual,JTU,WC.5,1,N/A,Kit,Water,TRUE,TRUE,FALSE,TRUE,,,399,5 JTU; 10 JTU,+- 5 JTU,0 - 100 JTU; 0 - 200 JTU,,< 0 JTU; > 300 JTU,Before each use,Turbidity columns are clean; reagents have not expired,N/A,N/A,,24 hours,Cool; <= deg C; store in dark
Turbidity,"Multiprobe Sonde (ex. YSI, Hydrolab)",N/A,NTU,WC.12,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,,,999,0.1 FNU,0-99 (0.3 or +/- 2% of reading),0-4000 FNU,,,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,,,,
Turbidity,Field colorimeter (ex. Hach DR 900),USEPA Method 180.1,FAU,WC.9,2,"Wash glassware, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,,
Turbidity,Turbidimeter (ex. Hach 2100P),USEPA Method 180.1,NTU,WC.6,2,"Acid-wash glassware, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,,,402,,Â± 2%,0.01-1000 NTU,,,,,Before Each Use,Formazin Primary Standard,,48 hours,cool
